ID,Nombre,Genero,Email,Pais
1,DOES,Rock,does1@yahoo.jp,Japon
2,STANCE PUNKS,Punk Rock,stancepunks2000@gmail.com.jp,Japon
3,Akira Yamaoka,Intrumental,akirayama@yahoo.co.jp,Japon
4,Neutral Milk Hotel,Indie Rock,jeffmangum@hotmail.com,Estados Unidos
5,syrup16g,Rock,syrup@outlook.com,Japon
6,Oasis,Britpop,oasis@gmail.com.uk,Inglaterra
7,Talking Heads,New wave,talkssheadss@gmail.com,Estados Unidos
8,Number Girl,Rock,nambagaru@yahoo.co.jp,Japon
9,Radiohead,Alternative Rock,radio@head.com,Inglaterra
10,Hanumaan,Rock,hanumaan@yahoo.com,Japon
11,,,,
12,Kaguyahime,Folk,kaguyahime1987@yahoo.co.jp,Japon
13,Sex Pistols,Punk Rock,johnnyrotten1986@hotmail.uk,Inglaterra
14,L'ArcenCiel,Rock,Jap¢n,laruku_official@gmail.jp
15,The Pillows,Alternative Rock,Jap¢n,pillows1999@yahoo.co.jp
16,Toe,Math Rock,Jap¢n,toe_japan@outlook.com
17,Asian Kung-Fu Generation,Indie Rock,Jap¢n,akfgmail@music.co.jp
18,Supercar,Shoegaze,Jap¢n,supercar.jp@hotmail.com
19,The Back Horn,Alternative Rock,Jap¢n,backhorn@bandmail.jp
20,Bump of Chicken,Rock,Jap¢n,boc_official@gmail.jp
21,RADWIMPS,Rock,Jap¢n,rad_radwimps@yahoo.co.jp
22,Spitz,Pop Rock,Jap¢n,spitz1991@musicmail.jp
23,Sakanaction,Electronic Rock,Jap¢n,sakana@outlook.jp
24,King Gnu,Indie Pop,Jap¢n,kinggnu.info@gmail.jp
25,Thee Michelle Gun Elephant,Garage Rock,Jap¢n,tmge@yahoo.co.jp
26,Elephant Kashimashi,Rock,Jap¢n,elephantk@outlook.com
27,ZAZEN BOYS,Experimental Rock,Jap¢n,zazen_boys@hotmail.co.jp
28,Cornelius,Electronic,Jap¢n,cornelius1996@gmail.com
29,Quruli,Alternative Rock,Jap¢n,quruli_contact@music.jp
30,Ningen Isu,Heavy Metal,Jap¢n,ningenisu@rockmail.jp
31,Envy,Post-Hardcore,Jap¢n,envyhxc@hotmail.com
32,Mono,Post-Rock,Jap¢n,mono_instrumental@gmail.jp
33,Glim Spanky,Blues Rock,Jap¢n,glimspanky@yahoo.jp
34,Mass of the Fermenting Dregs,Shoegaze,Jap¢n,motfd@musicmail.jp
35,Polkadot Stingray,J-Rock,Jap¢n,polkasting@gmail.com
36,tricot,Math Rock,Jap¢n,tricot_jp@yahoo.co.jp
37,Ling Tosite Sigure,Post-Hardcore,Jap¢n,lts@musicmail.jp
38,Aimer,Pop Rock,Jap¢n,aimer_staff@outlook.jp
39,Mr. Children,Pop Rock,Jap¢n,mrchildren@gmail.jp
40,Ikimono Gakari,Pop Rock,Jap¢n,ikimono_band@music.co.jp
41,MAN WITH A MISSION,Rock,Jap¢n,mwam_band@gmail.com
42,UVERworld,Rock,Jap¢n,uver_contact@yahoo.jp
43,SCANDAL,Pop Rock,Jap¢n,scandalband@hotmail.co.jp
44,Nana Kitade,Gothic Rock,Jap¢n,nk_band@musicmail.jp
45,BABYMETAL,Kawaii Metal,Jap¢n,babymetal.foxgod@gmail.jp
46,Dir En Grey,Metal,Jap¢n,direngrey_contact@yahoo.jp
47,BUCK-TICK,Visual Kei,Jap¢n,bucktick1987@hotmail.jp
48,Luna Sea,Rock,Jap¢n,lunasea_band@musicmail.jp
49,Malice Mizer,Gothic Rock,Jap¢n,malicemizer_official@yahoo.jp
50,X Japan,Heavy Metal,Jap¢n,xjapan1980@outlook.jp
51,VAMPS,Alternative Rock,Jap¢n,vampsband@gmail.com
52,The Gazette,Visual Kei,Jap¢n,thegazette@musicmail.jp
53,MUCC,Alternative Metal,Jap¢n,mucc_band@yahoo.jp
54,SiM,Reggae Punk,Jap¢n,sim_japan@music.co.jp
55,coldrain,Post-Hardcore,Jap¢n,coldrain_official@rockmail.jp
56,Crossfaith,Metalcore,Jap¢n,crossfaith_band@gmail.com
57,Fear, and Loathing in Las Vegas,Electronicore,Jap¢n,falilv.contact@music.jp
58,FLOW,Rock,Jap¢n,flow_band@yahoo.co.jp
59,Orange Range,Pop Rock,Jap¢n,orangerange@hotmail.jp
60,Sambomaster,Rock,Jap¢n,sambo2000@outlook.jp
61,Base Ball Bear,Indie Rock,Jap¢n,bbb_official@gmail.com
62,Kana-Boon,Rock,Jap¢n,kanaboon.music@yahoo.co.jp
63,Frederic,Indie Pop,Jap¢n,frederic.band@musicmail.jp
